refcode	metal	total_charge	spin_multiplicity	elem_nr	m_ox	d_elec	CN	geometry	rel_m
WEMVUH	Fe	0	1	26	2	6	6	Octahedral	0.931
WUTDAQ	Fe	0	1	26	2	6	6	Octahedral	0.905
MAFECL	Fe	-4	5	26	2	6	6	Octahedral	1.037
XAKHOI	Fe	-2	5	26	2	6	6	Octahedral	1.118
METYEQ	Fe	0	5	26	2	6	6	Octahedral	1.12
QIXDEI	Fe	0	5	26	2	6	6	Octahedral	1.111
WITBEJ	Fe	0	5	26	2	6	6	Octahedral	1.121
PIMMOQ	Fe	0	5	26	2	6	6	Octahedral	1.109
KITYOE	Fe	0	5	26	2	6	6	Octahedral	1.117
EYIRUA	Fe	0	5	26	2	6	6	Octahedral	1.108
IVEQEF	Fe	0	5	26	2	6	6	Octahedral	1.107
NISBEW	Fe	0	1	26	2	6	6	Octahedral	0.92
VUDXOH	Fe	0	1	26	2	6	6	Octahedral	0.94
SIXMES	Fe	1	5	26	2	6	6	Octahedral	1.135
DODWUQ	Fe	0	5	26	2	6	6	Octahedral	1.098
TIDCAL	Fe	0	5	26	2	6	6	Octahedral	1.134
WULSEB	Fe	1	5	26	2	6	6	Octahedral	1.11
PUQJAM	Fe	-1	5	26	2	6	6	Octahedral	1.117
TUTMUS	Fe	1	1	26	2	6	6	Octahedral	0.936
GAHJEG	Fe	1	1	26	2	6	6	Octahedral	0.93
TAMZAJ	Fe	1	1	26	2	6	6	Octahedral	0.885
JACCUP	Fe	0	1	26	2	6	6	Octahedral	0.895
FEKPUG	Fe	1	1	26	2	6	6	Octahedral	0.879
GOCDEH	Fe	0	1	26	2	6	6	Octahedral	0.958
JAZCAO	Fe	0	5	26	2	6	6	Octahedral	1.101
LINRUW	Fe	1	5	26	2	6	6	Octahedral	1.129
ACEYOW	Fe	2	5	26	2	6	6	Octahedral	1.094
DOQRAC	Fe	2	1	26	2	6	6	Octahedral	1.073
PAZXAP	Fe	2	1	26	2	6	6	Octahedral	0.989
JOWGEH	Fe	2	1	26	2	6	6	Octahedral	0.941
YANKUW	Fe	2	5	26	2	6	6	Octahedral	1.135
ETOHIF	Fe	0	5	26	2	6	6	Octahedral	1.116
DELPOZ01	Fe	2	1	26	2	6	6	Octahedral	0.914
ITERAB	Fe	0	5	26	2	6	6	Octahedral	1.107
NALPUL	Fe	0	1	26	2	6	6	Octahedral	0.916
DENYAZ	Fe	2	1	26	2	6	6	Octahedral	0.945
HOSRUD	Fe	0	5	26	2	6	6	Octahedral	1.115
XEVKIU	Fe	2	5	26	2	6	6	Octahedral	1.128
SUJVAW	Fe	1	5	26	2	6	6	Octahedral	1.117
OBOFOC	Fe	2	1	26	2	6	6	Octahedral	0.914
WOGMEL	Fe	2	1	26	2	6	6	Octahedral	0.917
YASPUE	Fe	0	5	26	2	6	6	Octahedral	1.112
IFEYOK	Fe	2	1	26	2	6	6	Octahedral	0.922
LOJVEN	Fe	0	5	26	2	6	6	Octahedral	1.095
OSELOO	Fe	0	5	26	2	6	6	Octahedral	1.107
GADMOR	Fe	-1	5	26	2	6	6	Octahedral	1.116
JITWUF	Fe	2	1	26	2	6	6	Octahedral	0.973
DORPIJ	Fe	-1	5	26	2	6	6	Octahedral	1.11
OFANER	Fe	0	5	26	2	6	6	Octahedral	1.119
CETFAI	Fe	2	5	26	2	6	6	Octahedral	1.111
ZEBSAA	Fe	0	1	26	2	6	6	Octahedral	0.922
GEDFIE	Fe	2	1	26	2	6	6	Octahedral	0.907
QENWUC	Fe	2	1	26	2	6	6	Octahedral	0.922
HEBPUZ	Fe	0	1	26	2	6	6	Octahedral	0.953
YAJLEA	Fe	0	5	26	2	6	6	Octahedral	1.108
ZILYIC	Fe	0	5	26	2	6	6	Octahedral	1.113
YAJLAW	Fe	0	5	26	2	6	6	Octahedral	1.095
HEYNOO	Fe	0	1	26	2	6	6	Octahedral	0.932
HEYNII	Fe	0	1	26	2	6	6	Octahedral	0.931
QEDCOR	Fe	2	5	26	2	6	6	Octahedral	1.094
GAYZEL	Fe	0	5	26	2	6	6	Octahedral	1.105
EGUZUB	Fe	2	1	26	2	6	6	Octahedral	0.911
LAXNON	Fe	2	1	26	2	6	6	Octahedral	0.914
LAXNUT	Fe	2	1	26	2	6	6	Octahedral	0.914
LILYOW	Fe	1	5	26	2	6	6	Trigonal prismatic	1.108
QUKTAS	Fe	0	5	26	2	6	6	Trigonal prismatic	1.145
HUMBEX	Fe	4	5	26	2	6	6	Trigonal prismatic	1.127
VAHGES	Fe	1	5	26	2	6	6	Trigonal prismatic	1.152
MATFUL	Fe	0	5	26	2	6	6	Trigonal prismatic	1.121
REGBUA	Fe	0	5	26	2	6	6	Trigonal prismatic	1.148
WOJLUC	Fe	2	5	26	2	6	7	Capped trigonal prismatic	1.211
HOGFIV	Fe	0	5	26	2	6	7	Capped trigonal prismatic	1.187
XEZMEU	Fe	0	5	26	2	6	7	Pentagonal bipyramidal	1.15
NUKPAM01	Fe	0	5	26	2	6	7	Pentagonal bipyramidal	1.172
UBEXOQ	Fe	2	5	26	2	6	7	Pentagonal bipyramidal	1.191
KEHREV	Fe	2	5	26	2	6	7	Pentagonal bipyramidal	1.172
QOMQOZ	Fe	1	5	26	2	6	7	Pentagonal bipyramidal	1.166
SOTLET	Fe	0	5	26	2	6	7	Pentagonal bipyramidal	1.189
NELGOA	Fe	2	5	26	2	6	8	Cube	1.325
NAPYFE10	Fe	2	5	26	2	6	8	Dodecahedral	1.243
HIDQUJ	Fe	2	5	26	2	6	8	Dodecahedral	1.208
HMSIAF13	Fe	0	6	26	3	5	3	Trigonal planar	0.907
RUMNUK	Fe	0	6	26	3	5	3	Trigonal planar	0.875
MAKBUW	Fe	-1	4	26	3	5	4	Square planar	0.901
BOWYUJ	Fe	-1	6	26	3	5	4	Tetrahedral	0.861
OTOTIB	Fe	0	6	26	3	5	4	Tetrahedral	0.902
TOCSOV	Fe	-1	6	26	3	5	4	Tetrahedral	1.037
MIVGUV	Fe	0	6	26	3	5	4	Tetrahedral	0.926
ISIKEA	Fe	-1	6	26	3	5	4	Tetrahedral	0.905
ADIGEB	Fe	0	6	26	3	5	4	Tetrahedral	0.963
VEMYOB	Fe	0	6	26	3	5	4	Tetrahedral	0.887
MOBKET	Fe	0	6	26	3	5	4	Tetrahedral	0.893
MADLOV	Fe	0	6	26	3	5	4	Tetrahedral	0.923
LIBYOM	Fe	-1	6	26	3	5	4	Tetrahedral	0.94
DABQED	Fe	0	6	26	3	5	4	Tetrahedral	0.92
CEXLUN	Fe	-1	6	26	3	5	4	Tetrahedral	0.905
JUWHAK	Fe	0	6	26	3	5	4	Tetrahedral	0.883
SAYMIO	Fe	0	6	26	3	5	4	Tetrahedral	0.892
BOXSAK	Fe	-1	6	26	3	5	4	Tetrahedral	0.935
ONAPOL	Fe	-1	6	26	3	5	4	Tetrahedral	0.952
DABPOM	Fe	0	6	26	3	5	4	Tetrahedral	0.951
FIMPOH	Fe	0	2	26	3	5	4	Tetrahedral	0.849
MESROU	Fe	-1	6	26	3	5	4	Tetrahedral	0.898
JURHIN	Fe	-1	6	26	3	5	4	Tetrahedral	0.92
EWOBEX	Fe	0	4	26	3	5	5	Square pyramidal	0.972
QOCDUI01	Fe	0	4	26	3	5	5	Square pyramidal	0.96
VIFKED	Fe	0	4	26	3	5	5	Square pyramidal	0.952
MANHEQ	Fe	-2	4	26	3	5	5	Square pyramidal	0.92
DADJEX	Fe	0	4	26	3	5	5	Square pyramidal	0.987
ALALAA	Fe	0	2	26	3	5	5	Square pyramidal	0.962
HOGHEQ	Fe	0	2	26	3	5	5	Square pyramidal	0.924
EQACEF	Fe	-2	6	26	3	5	5	Square pyramidal	0.983
RAKTAA	Fe	0	6	26	3	5	5	Square pyramidal	0.991
ECOPAO	Fe	0	6	26	3	5	5	Square pyramidal	0.986
PADJAH	Fe	0	6	26	3	5	5	Square pyramidal	0.983
EVILOM	Fe	0	6	26	3	5	5	Square pyramidal	0.977
QOLKIM	Fe	0	4	26	3	5	5	Square pyramidal	0.948
WIYSII	Fe	0	6	26	3	5	5	Square pyramidal	0.975
NAVVIQ	Fe	-2	4	26	3	5	5	Square pyramidal	0.939
VEKNOO	Fe	-2	4	26	3	5	5	Square pyramidal	0.947
GITHEY	Fe	0	4	26	3	5	5	Square pyramidal	0.939
MIJSOP	Fe	0	4	26	3	5	5	Square pyramidal	0.929
MOCMAT	Fe	-1	4	26	3	5	5	Square pyramidal	0.921
TIQZIE	Fe	0	4	26	3	5	5	Square pyramidal	0.982
QITWUO	Fe	1	4	26	3	5	5	Square pyramidal	0.99
RISNOZ	Fe	0	6	26	3	5	5	Square pyramidal	1.001
ZOFDAC	Fe	0	6	26	3	5	5	Square pyramidal	0.977
BESBEI	Fe	0	6	26	3	5	5	Square pyramidal	1.023
QORDUY	Fe	-1	4	26	3	5	5	Square pyramidal	0.936
BEKZIA	Fe	0	6	26	3	5	5	Square pyramidal	0.974
ILONUV	Fe	-2	6	26	3	5	5	Square pyramidal	0.985
QORFAG	Fe	-2	4	26	3	5	5	Square pyramidal	0.938
UCECEL	Fe	-1	4	26	3	5	5	Square pyramidal	0.935
TALMEZ	Fe	-1	4	26	3	5	5	Square pyramidal	0.939
UCIVOT	Fe	-2	6	26	3	5	5	Square pyramidal	0.97
ULEVIQ	Fe	-1	4	26	3	5	5	Square pyramidal	0.945
YITRUO	Fe	1	2	26	3	5	5	Square pyramidal	0.885
MANHAM	Fe	-2	4	26	3	5	5	Square pyramidal	0.936
YEHDUM	Fe	0	6	26	3	5	5	Trigonal bipyramidal	1.063
MOMXUJ	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.982
LOQLOS	Fe	0	4	26	3	5	5	Trigonal bipyramidal	0.936
ZAVTUN	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.997
YOZRAG	Fe	-2	6	26	3	5	5	Trigonal bipyramidal	0.978
VILRIT	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.994
KAJTOE	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.976
GEPVEF	Fe	0	4	26	3	5	5	Trigonal bipyramidal	0.955
SAVHOM	Fe	0	4	26	3	5	5	Trigonal bipyramidal	0.934
SAVHIG	Fe	0	6	26	3	5	5	Trigonal bipyramidal	1.014
DAQXEY	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.992
IBEGIH	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.999
KAFLUA	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.994
MAHNOZ	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.971
EDECEX	Fe	0	4	26	3	5	5	Trigonal bipyramidal	0.955
QAYCEY	Fe	0	6	26	3	5	5	Trigonal bipyramidal	1.001
FIHFIO	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.983
HITHOI	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.995
GADTIS	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.997
KAGCIH	Fe	-1	4	26	3	5	5	Trigonal bipyramidal	0.93
TAVHOO	Fe	-1	6	26	3	5	5	Trigonal bipyramidal	1.017
NOFJOI	Fe	-1	6	26	3	5	5	Trigonal bipyramidal	1.005
DOGHOY	Fe	1	6	26	3	5	5	Trigonal bipyramidal	1.007
JIWFUQ	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.986
GUQYOH	Fe	0	6	26	3	5	5	Trigonal bipyramidal	1.002
ZAZNUJ	Fe	0	6	26	3	5	5	Trigonal bipyramidal	1.015
JIWMIL	Fe	0	6	26	3	5	5	Trigonal bipyramidal	0.98
UCIVUZ	Fe	-2	6	26	3	5	5	Trigonal bipyramidal	0.972
KAGRES	Fe	-1	4	26	3	5	5	Trigonal bipyramidal	0.929
QEFDOW	Fe	0	6	26	3	5	6	Octahedral	1.039
UHEHAQ	Fe	0	6	26	3	5	6	Octahedral	1.033
GUTXOL	Fe	1	2	26	3	5	6	Octahedral	0.937
HAXXOU	Fe	0	6	26	3	5	6	Octahedral	1.062
SUTQAB	Fe	0	6	26	3	5	6	Octahedral	1.043
QOZZUB	Fe	0	6	26	3	5	6	Octahedral	1.039
VOPPEV	Fe	0	6	26	3	5	6	Octahedral	1.013
JIHPAR	Fe	-3	2	26	3	5	6	Octahedral	0.911
HIYRUE	Fe	-2	2	26	3	5	6	Octahedral	0.929
SEDREZ	Fe	-1	2	26	3	5	6	Octahedral	0.944
YITNAR	Fe	-1	2	26	3	5	6	Octahedral	0.925
SAGCAF	Fe	0	2	26	3	5	6	Octahedral	0.948
ERIMEZ02	Fe	-1	2	26	3	5	6	Octahedral	0.976
GICZIB	Fe	1	2	26	3	5	6	Octahedral	0.943
YAQBEA	Fe	1	2	26	3	5	6	Octahedral	0.956
KAGXUP	Fe	1	2	26	3	5	6	Octahedral	0.911
LIJBUB	Fe	0	2	26	3	5	6	Octahedral	0.968
XIBBAL	Fe	1	2	26	3	5	6	Octahedral	0.946
UHIBAP	Fe	0	2	26	3	5	6	Octahedral	0.933
QEHZIN	Fe	2	2	26	3	5	6	Octahedral	0.947
VOCBAQ	Fe	-2	6	26	3	5	6	Octahedral	1.036
YILLAH	Fe	-1	6	26	3	5	6	Octahedral	1.044
VOBYEQ	Fe	-1	6	26	3	5	6	Octahedral	1.03
POJREL	Fe	0	6	26	3	5	6	Octahedral	1.05
ATOFAS	Fe	-2	6	26	3	5	6	Octahedral	1.042
REXMIQ	Fe	0	6	26	3	5	6	Octahedral	1.062
ZULGAQ	Fe	-2	6	26	3	5	6	Octahedral	1.031
YITVON	Fe	0	6	26	3	5	6	Octahedral	1.027
RUHMAI	Fe	1	6	26	3	5	6	Octahedral	1.065
JIKPAX	Fe	1	6	26	3	5	6	Octahedral	1.049
RIPXIX	Fe	0	6	26	3	5	6	Octahedral	1.049
GAVNEX	Fe	0	6	26	3	5	6	Octahedral	1.039
QARPEF	Fe	0	6	26	3	5	6	Octahedral	1.042
EHEXOE	Fe	-2	6	26	3	5	6	Octahedral	1.03
SAHZIK	Fe	0	6	26	3	5	6	Octahedral	1.032
WIHFEB	Fe	2	2	26	3	5	6	Octahedral	0.944
XEZZUX	Fe	1	2	26	3	5	6	Octahedral	0.949
OLUYEB	Fe	2	2	26	3	5	6	Octahedral	1.005
XOFDUR	Fe	1	6	26	3	5	6	Octahedral	1.042
VIJQUB	Fe	0	6	26	3	5	6	Octahedral	1.047
CAPZAW	Fe	-1	6	26	3	5	6	Octahedral	1.039
QIJTAE	Fe	0	6	26	3	5	6	Octahedral	1.039
ZIMBEC	Fe	0	6	26	3	5	6	Octahedral	1.018
WISHUE	Fe	0	6	26	3	5	6	Octahedral	1.047
VOPPAR	Fe	0	6	26	3	5	6	Octahedral	1.02
RUMRAU	Fe	-3	6	26	3	5	6	Octahedral	1.027
YASHUV	Fe	-2	6	26	3	5	6	Octahedral	1.026
HARLER	Fe	1	6	26	3	5	6	Octahedral	1.042
VEGCEQ	Fe	1	2	26	3	5	6	Octahedral	0.967
NEPPIJ	Fe	-3	6	26	3	5	6	Octahedral	1.027
NEMXIN	Fe	0	2	26	3	5	6	Octahedral	0.927
HULQAI	Fe	-2	6	26	3	5	6	Octahedral	1.025
ELUJUQ	Fe	0	6	26	3	5	6	Octahedral	1.061
QETKOS	Fe	3	2	26	3	5	6	Octahedral	0.975
SILWOA	Fe	-2	6	26	3	5	6	Octahedral	1.014
UGOLOT	Fe	2	2	26	3	5	6	Octahedral	0.964
CESGOW	Fe	1	2	26	3	5	6	Octahedral	0.92
CAJFEZ	Fe	2	2	26	3	5	6	Octahedral	0.941
KETVEL	Fe	1	6	26	3	5	6	Octahedral	1.036
WOBXER	Fe	1	6	26	3	5	6	Octahedral	1.061
VENGUS	Fe	0	6	26	3	5	6	Octahedral	1.042
GUGYIS	Fe	-1	6	26	3	5	6	Octahedral	1.032
AETSFE	Fe	1	2	26	3	5	6	Octahedral	0.951
LUJPAI	Fe	1	2	26	3	5	6	Octahedral	0.981
EGEMOS	Fe	0	2	26	3	5	6	Octahedral	0.949
XENPAI	Fe	1	2	26	3	5	6	Octahedral	0.934
MIDJOY	Fe	1	2	26	3	5	6	Octahedral	0.948
JUDRAD	Fe	0	6	26	3	5	6	Octahedral	1.018
UBUBAU	Fe	0	6	26	3	5	6	Octahedral	1.055
DOXXOE	Fe	0	6	26	3	5	6	Octahedral	1.08
HAVRII	Fe	-1	6	26	3	5	6	Octahedral	1.022
OMANIB	Fe	0	2	26	3	5	6	Octahedral	0.939
CUHGUH	Fe	-1	2	26	3	5	6	Octahedral	0.933
DIHZEC	Fe	0	6	26	3	5	6	Octahedral	1.02
KAPJAO	Fe	3	6	26	3	5	6	Octahedral	1.008
KEFLUD	Fe	-3	6	26	3	5	6	Octahedral	1.041
BOFFOS	Fe	-3	6	26	3	5	6	Octahedral	1.021
NANJUJ	Fe	-1	6	26	3	5	6	Octahedral	1.033
RATCAR	Fe	0	6	26	3	5	6	Octahedral	1.048
MTCBFE	Fe	0	6	26	3	5	6	Octahedral	1.058
DEXZAK	Fe	0	6	26	3	5	6	Octahedral	1.039
NUSMIY	Fe	-2	2	26	3	5	6	Octahedral	0.946
VEKNUU	Fe	0	6	26	3	5	6	Octahedral	1.078
LOXSIA	Fe	0	2	26	3	5	6	Octahedral	0.952
LOXWUQ	Fe	-1	6	26	3	5	6	Trigonal prismatic	1.044
NOYJUG	Fe	-3	6	26	3	5	6	Trigonal prismatic	1.027
IVOSAO	Fe	2	6	26	3	5	7	Capped trigonal prismatic	1.13
IVOSES	Fe	2	6	26	3	5	7	Pentagonal bipyramidal	1.129
MUJZUM	Fe	0	6	26	3	5	7	Pentagonal bipyramidal	1.106
NURPUN	Co	1	3	27	1	8	2	Linear	0.963
KAGHOS	Co	-1	3	27	1	8	2	Linear	0.943
VEYXOP	Co	0	3	27	1	8	3	T-shaped	0.998
AQUGIF	Co	0	3	27	1	8	3	T-shaped	0.948
FEWYAK	Co	1	3	27	1	8	3	Trigonal planar	0.99
QIDNAU	Co	0	3	27	1	8	3	Trigonal planar	0.971
MAXZOC	Co	0	3	27	1	8	3	Trigonal planar	0.965
UZEXON	Co	0	3	27	1	8	3	Trigonal planar	0.98
HESNAX	Co	0	1	27	1	8	4	Seesaw	0.9
NIHXEK	Co	0	3	27	1	8	4	Seesaw	0.994
YALHUP	Co	0	3	27	1	8	4	Seesaw	1.099
YIKVUM	Co	0	3	27	1	8	4	Seesaw	1.001
UZEYEE	Co	0	1	27	1	8	4	Square planar	0.889
BAFSIO	Co	0	1	27	1	8	4	Square planar	0.887
SIPHAA	Co	0	3	27	1	8	4	Tetrahedral	0.943
CUWSIW	Co	0	3	27	1	8	4	Tetrahedral	0.956
NIHYIP	Co	0	3	27	1	8	4	Tetrahedral	0.993
DAJVIT	Co	0	3	27	1	8	4	Tetrahedral	0.924
CAFYAK	Co	0	3	27	1	8	4	Tetrahedral	0.963
TUMYUV	Co	0	3	27	1	8	4	Tetrahedral	0.954
CIXXEN	Co	0	3	27	1	8	4	Tetrahedral	0.927
CIXXAJ	Co	0	3	27	1	8	4	Tetrahedral	0.907
XONCEJ	Co	0	3	27	1	8	4	Tetrahedral	0.971
FIYMOP	Co	1	1	27	1	8	5	Square pyramidal	0.873
FEWVEL	Co	0	1	27	1	8	5	Square pyramidal	0.935
VUJPIZ	Co	0	1	27	1	8	5	Square pyramidal	0.878
VAFHAM	Co	0	1	27	1	8	5	Trigonal bipyramidal	0.893
QAQBIV	Co	0	1	27	1	8	5	Trigonal bipyramidal	0.883
RABVOG	Co	0	1	27	1	8	5	Trigonal bipyramidal	0.894
CAHCOP	Co	0	1	27	1	8	5	Trigonal bipyramidal	0.862
WOKYOL	Co	0	1	27	1	8	5	Trigonal bipyramidal	0.928
CURVOB	Co	0	4	27	2	7	2	Linear	0.956
PIVHUZ	Co	0	4	27	2	7	2	Linear	0.879
MUGYIY	Co	0	4	27	2	7	3	Trigonal planar	0.994
MUGYEU	Co	0	4	27	2	7	3	Trigonal planar	0.98
VUCPIU	Co	0	4	27	2	7	3	Trigonal planar	1.018
XUNTAB	Co	0	4	27	2	7	3	Trigonal planar	0.927
MONZEU	Co	0	4	27	2	7	3	Trigonal planar	0.979
RITTAR	Co	0	4	27	2	7	3	Trigonal planar	0.99
DOZZEX	Co	0	4	27	2	7	3	Trigonal planar	0.989
DAQRAR	Co	-1	4	27	2	7	3	Trigonal planar	0.958
VENTAL	Co	0	4	27	2	7	4	Seesaw	1.044
GIGGUZ	Co	0	4	27	2	7	4	Seesaw	1.036
TEXLIS	Co	0	4	27	2	7	4	Seesaw	1.021
MCPTCO	Co	0	4	27	2	7	4	Seesaw	1.042
MERECO	Co	0	4	27	2	7	4	Seesaw	1.019
AGIDEC	Co	-2	4	27	2	7	4	Seesaw	1.027
SEWMAK	Co	-2	4	27	2	7	4	Seesaw	1.025
TANLEA	Co	0	2	27	2	7	4	Seesaw	0.906
BITTAC	Co	0	2	27	2	7	4	Square planar	0.907
BIXWOX	Co	0	2	27	2	7	4	Square planar	0.969
FEWYIS	Co	0	2	27	2	7	4	Square planar	0.94
EQEQAV	Co	0	2	27	2	7	4	Square planar	0.96
QANMOK	Co	0	2	27	2	7	4	Square planar	1.006
IPOFUR	Co	0	2	27	2	7	4	Square planar	0.941
AGAVAI	Co	0	2	27	2	7	4	Square planar	0.898
HEQZEI	Co	0	2	27	2	7	4	Square planar	1.013
FEYMIG	Co	0	2	27	2	7	4	Square planar	0.903
QAZCIF	Co	0	2	27	2	7	4	Square planar	0.951
LAPYAC	Co	0	2	27	2	7	4	Square planar	0.917
ZZZAOG01	Co	0	2	27	2	7	4	Square planar	0.922
JUHTIP	Co	0	2	27	2	7	4	Square planar	0.931
AGXICO	Co	0	2	27	2	7	4	Square planar	0.935
ZIMPUG	Co	0	2	27	2	7	4	Square planar	0.92
ZIMQAN	Co	0	2	27	2	7	4	Square planar	0.933
AGUDUE	Co	1	2	27	2	7	4	Square planar	0.924
VEXLIU	Co	0	2	27	2	7	4	Square planar	0.92
EAIMCO	Co	0	2	27	2	7	4	Square planar	0.935
RUMGUB	Co	0	2	27	2	7	4	Square planar	0.981
AJALAZ	Co	0	2	27	2	7	4	Square planar	0.925
FEHNOV	Co	0	2	27	2	7	4	Square planar	0.882
TILSUD	Co	2	2	27	2	7	4	Square planar	0.998
EWANAR	Co	-2	2	27	2	7	4	Square planar	0.896
BAMCOM	Co	-2	2	27	2	7	4	Square planar	0.883
LAYMEF	Co	-2	2	27	2	7	4	Square planar	0.905
PELZAH	Co	-1	4	27	2	7	4	Tetrahedral	0.97
HEKXIG	Co	-2	4	27	2	7	4	Tetrahedral	0.967
UFOYOF	Co	-1	4	27	2	7	4	Tetrahedral	0.983
PAMSUT	Co	-1	4	27	2	7	4	Tetrahedral	0.982
VEBKAQ	Co	0	4	27	2	7	4	Tetrahedral	1.003
METGUN	Co	0	4	27	2	7	4	Tetrahedral	1.002
TEHYOV	Co	0	4	27	2	7	4	Tetrahedral	0.981
BABCAK	Co	0	4	27	2	7	4	Tetrahedral	0.978
FOMQAB	Co	0	4	27	2	7	4	Tetrahedral	0.983
QOGLAZ	Co	0	4	27	2	7	4	Tetrahedral	0.992
NUPTAT	Co	0	4	27	2	7	4	Tetrahedral	0.967
FAYHIZ	Co	0	4	27	2	7	4	Tetrahedral	0.975
ZUMCUI	Co	0	4	27	2	7	4	Tetrahedral	1.012
CADYUC	Co	0	4	27	2	7	4	Tetrahedral	1.006
OBIMOC	Co	0	4	27	2	7	4	Tetrahedral	0.996
HIDXUP	Co	0	4	27	2	7	4	Tetrahedral	1.033
KOZYED01	Co	0	4	27	2	7	4	Tetrahedral	1.102
DIMDAH	Co	0	4	27	2	7	4	Tetrahedral	1.056
HURSAR	Co	0	4	27	2	7	4	Tetrahedral	1.013
HIPLOI	Co	0	4	27	2	7	4	Tetrahedral	1.09
YEQZID	Co	0	4	27	2	7	4	Tetrahedral	1.033
BINJOZ	Co	-2	4	27	2	7	4	Tetrahedral	0.994
SOXJUK	Co	-1	4	27	2	7	4	Tetrahedral	0.993
GISVAF	Co	0	4	27	2	7	4	Tetrahedral	1.003
YINCOO	Co	0	4	27	2	7	4	Tetrahedral	0.994
ILIJUK	Co	0	4	27	2	7	4	Tetrahedral	0.993
METGOH	Co	0	4	27	2	7	4	Tetrahedral	1.021
PUMQAQ	Co	-2	4	27	2	7	4	Tetrahedral	1.006
RIZGUF	Co	0	4	27	2	7	4	Tetrahedral	0.993
TOTGOY	Co	0	4	27	2	7	4	Tetrahedral	1.017
LAJYUR	Co	0	4	27	2	7	4	Tetrahedral	1.06
JAWSUY	Co	0	4	27	2	7	4	Tetrahedral	1.011
NANJEU	Co	0	4	27	2	7	4	Tetrahedral	1.0
NEZPEQ	Co	0	4	27	2	7	4	Tetrahedral	1.005
VECTUU	Co	0	4	27	2	7	4	Tetrahedral	1.013
FOMPUU	Co	0	4	27	2	7	4	Tetrahedral	0.99
FARZIH	Co	0	4	27	2	7	4	Tetrahedral	1.006
FAJMAF	Co	-2	4	27	2	7	4	Tetrahedral	1.018
SIYHOA	Co	0	4	27	2	7	4	Tetrahedral	1.008
RUTRUT	Co	0	4	27	2	7	4	Tetrahedral	0.983
LOXSAS	Co	0	4	27	2	7	4	Tetrahedral	0.995
REMMEB	Co	0	4	27	2	7	4	Tetrahedral	0.997
HIPLEY	Co	0	4	27	2	7	4	Tetrahedral	1.052
IJOPED	Co	0	4	27	2	7	4	Tetrahedral	1.055
VEDXOS	Co	0	4	27	2	7	4	Tetrahedral	1.015
XEZWOQ	Co	0	4	27	2	7	4	Tetrahedral	0.998
BIWPED	Co	0	4	27	2	7	4	Tetrahedral	1.032
JAPRUN	Co	0	4	27	2	7	4	Tetrahedral	0.989
LEWNIN	Co	0	4	27	2	7	4	Tetrahedral	1.077
SIBZAE	Co	0	4	27	2	7	4	Tetrahedral	1.092
CAHQAD	Co	0	4	27	2	7	4	Tetrahedral	1.062
ROBXEM	Co	-2	4	27	2	7	4	Tetrahedral	0.958
DAPQOD	Co	0	4	27	2	7	4	Tetrahedral	0.987
KUWWAC	Co	0	4	27	2	7	4	Tetrahedral	0.98
TAPGUM	Co	0	4	27	2	7	4	Tetrahedral	1.004
UMUJUK	Co	0	4	27	2	7	4	Tetrahedral	0.986
FAYHOF	Co	0	4	27	2	7	4	Tetrahedral	0.984
HOMKUP	Co	0	4	27	2	7	4	Tetrahedral	0.99
XUPRAB	Co	0	4	27	2	7	4	Tetrahedral	0.991
CODLEO	Co	0	4	27	2	7	4	Tetrahedral	0.983
CASXAY	Co	-2	4	27	2	7	4	Tetrahedral	0.988
QITSUJ	Co	-2	4	27	2	7	4	Tetrahedral	0.987
ADERAF	Co	0	4	27	2	7	4	Tetrahedral	0.998
IZOJAK	Co	0	4	27	2	7	4	Tetrahedral	1.032
NICFAH	Co	-1	4	27	2	7	4	Tetrahedral	1.025
UHOXOE	Co	1	4	27	2	7	4	Tetrahedral	1.037
WIGMAA	Co	0	4	27	2	7	4	Tetrahedral	1.073
EMEDEH	Co	0	4	27	2	7	4	Tetrahedral	1.024
CADZAJ	Co	0	4	27	2	7	4	Tetrahedral	1.009
ECBIMA10	Co	0	4	27	2	7	4	Tetrahedral	1.056
COIMAC10	Co	0	4	27	2	7	4	Tetrahedral	1.039
ADEQUY	Co	0	4	27	2	7	4	Tetrahedral	0.996
WAHQEE	Co	0	4	27	2	7	4	Tetrahedral	1.012
UYIFUF02	Co	0	4	27	2	7	4	Tetrahedral	1.029
UJUSOI	Co	0	4	27	2	7	4	Tetrahedral	1.013
WOFREP	Co	0	4	27	2	7	4	Tetrahedral	1.022
OQEDOE	Co	0	4	27	2	7	4	Tetrahedral	1.038
SAZFOR	Co	0	2	27	2	7	4	Tetrahedral	0.867
